review,sentiment
admittedly parsifal opera appeal everyone although favourite mine knappertsbusch particular syberberg entire approach static whenever music suddenly begin swell syberberg keep cast moving pace take amfortas klingsor endless whatever happened film editing result physically exhausting watch viewer never spiritually transported impulse rush home play recording confirm wagner got right syberberg got wrong set decoration clever reminder wagner anti semitism ever viewer film prior knowledge wagner,0
know want escavate moon real geneve debated project could lead make possible time machine say movie based fact future time movie scientifical project real hope moon exist happen movie movie saw original movie also read book book like though movie yes totally agree previous comment movie depressing unlike one good force one paralled future good movie,0
movie schlock despite lo fi production link troma production dark fable adult exploitation theme sugar cooky one wonder cast fallen prey said theme weird movie enticing visuals shadow contrast prominent definitely worth look especially fan warhol stylish decadence cruelty wickedness moral albeit twisted gleamed,1
romantic comedy bad funny thing happening rather memorable character br br acting however amateurish exception banker scene great fun others simply embarrassing particular found romantic part story poor br br guess worth seeing like football romantic comedy really bad movie ending feel quite good expect anything ordinary fair enough hour quarter kill,0
love sarah water fingersmith worried tv adaptation disappointed bbc version tipping velvet although beautiful look let keeley hawes able sing rachael stirling able act fingersmith tightly plotted novel breath taking twist turn wondered could done justice hour br br worried adaptation excellent little cut went along cracking pace although wonder whether read book would miss thing look feel bbc classic costume drama kept remind contemporary book br br acting stellar sally hawkins acting heart sue trinder elaine cassidy slow burner end story incandescent maud lilley love passion realisation act betrayal would perform written face joy watch br br hope rachael stirling watching play sarah water character,1
let say edward wood jr passion work wish people optimism commanding hope ed wood world would probably much better place familiar ed wood story seen wonderful biopic ed wood several time admire boldness strives job loved still admire never say die attitude love directing wish people modern day hollywood br br make movie fun watch glen glenda first confessional film probably worst br br glen glenda deadening cult movie cross dresser named glen played director writer ed wood despite love fiancée barbara dolores fuller cannot seem conquer lust transvestitism dress woman clothing wig thus becomes glenda glen glenda story narrated doctor talked watched mysterious character called scientist played veteran horror star bela lugosi oh also sub story alan anne character becomes transsexual based christine jorgenson story upon movie originally titled changed sex previously based br br dropped jaw yet well much want warn picture never seen would never tell lie movie one word falsehood plot synopsis gave every thing true movie cross dresser transsexual topic sound appealing begin done appealing manner sure good screenplay good director neither glen glenda despite subject matter could moving picture confessional movie wood part transvestite real life well screen make good movie watchable one matter glen glenda jumbled disorganized mess movie sink new trench realm bad cinema make sense notoriously silly scene bela lugosi scream pull string inexplicable footage stampeding bison majority movie narrated monotonous voice reminding bad short informative film seen like one really bad short film expanded seventy minute feature twice dull sit age waiting plot never come real attempt even build energy camera locked one position many grueling minute long stretch time nothing happens moment worth anybody time bela lugosi manages bring light dark trench guess lugosi supposed like deity film personally care less supposed tell gifted actor wound making trash wood good friend liked working good br br always admire edward wood jr passion cinema never long live admire movie film critic called ed wood movie innocent fun think even questionable innocent yes fun sir citizen kane mount everest cinematic world glen glenda probably mariana trench,0
sat tv hoping name would worth time dear gussie whoever thought script worth producing basic idea excellent execution appallingly bad constantly illogical sequence scene ending almost laughably melodramatic poor rock hudson wanders understandably confused look slightly sagging face look like bad b movie,0
remember worst film watched total waste actor audience time prefer sitting tv think film right film maybe film recorded make people believe moscow mystique past must say expect anything else rade serbedzija expected vincent gallo film lack plot character development denouement entire movie underground tunnel mystique must fair camera effect even poor picture total waste time,0
really disappointed movie great actor potentially great plot seemed limp along br br charlize theron masterful role beautiful seemed like screen work car chase done austin mini product placement gone wrong wrong br br direction seemed edward norton bad guy obvious right start every time camera would pas would linger long norton would grimace something c mon hollywood give u little credit okay surprise u plot twist without telegraph br br sorry movie average always one appreciate work talent go movie one,0
mixing small town sheriff high school student fake rock music weirdo kill well reason particular film essentially make giant gila monster except without gila monster course br br anyone actually seen giant gila monster know one worst made film time frequently slow even funny believe giant gila monster earned reputation young director dying get work sequel let alone remake someone please explain film made dance sequence way historically interesting although three year date even spoiled since go,0
